truck_id,order_id,sequence_number
0,91.0,1
0,244.0,2
0,174.0,3
0,78.0,4
1,48.0,1
1,26.0,2
1,145.0,3
1,299.0,4
1,189.0,5
1,400.0,6
1,248.0,7
1,479.0,8
1,107.0,9
1,180.0,10
2,0.0,1
2,271.0,2
2,314.0,3
2,184.0,4
2,79.0,5
2,438.0,6
2,241.0,7
2,254.0,8
2,460.0,9
2,325.0,10
2,86.0,11
2,259.0,12
3,340.0,1
3,4.0,2
3,160.0,3
3,6.0,4
3,257.0,5
4,286.0,1
4,334.0,2
4,35.0,3
4,357.0,4
4,397.0,5
4,128.0,6
4,119.0,7
4,313.0,8
4,87.0,9
4,101.0,10
5,23.0,1
5,49.0,2
5,195.0,3
5,291.0,4
5,329.0,5
5,309.0,6
5,341.0,7
6,394.0,1
6,411.0,2
6,457.0,3
6,470.0,4
6,236.0,5
6,423.0,6
6,125.0,7
6,442.0,8
6,287.0,9
6,266.0,10
6,393.0,11
6,381.0,12
6,81.0,13
6,215.0,14
6,240.0,15
7,403.0,1
8,474.0,1
8,277.0,2
8,302.0,3
8,265.0,4
8,31.0,5
8,243.0,6
8,152.0,7
8,154.0,8
8,187.0,9
8,238.0,10
8,290.0,11
9,143.0,1
9,418.0,2
9,490.0,3
9,362.0,4
9,432.0,5
9,15.0,6
9,95.0,7
9,288.0,8
9,346.0,9
10,349.0,1
10,32.0,2
10,25.0,3
10,282.0,4
10,493.0,5
10,108.0,6
10,372.0,7
11,399.0,1
11,415.0,2
12,495.0,1
12,190.0,2
12,275.0,3
12,201.0,4
12,209.0,5
12,121.0,6
12,19.0,7
12,377.0,8
12,422.0,9
12,294.0,10
13,338.0,1
13,113.0,2
13,217.0,3
13,284.0,4
13,83.0,5
13,402.0,6
14,175.0,1
14,407.0,2
14,255.0,3
14,419.0,4
14,237.0,5
14,318.0,6
14,273.0,7
14,168.0,8
14,322.0,9
14,303.0,10
14,146.0,11
14,492.0,12
14,316.0,13
15,319.0,1
16,197.0,1
16,115.0,2
16,40.0,3
16,228.0,4
17,301.0,1
18,383.0,1
19,118.0,1
19,186.0,2
19,62.0,3
19,391.0,4
19,16.0,5
20,142.0,1
21,355.0,1
21,204.0,2
21,417.0,3
21,323.0,4
22,310.0,1
22,306.0,2
22,307.0,3
22,489.0,4
22,47.0,5
22,435.0,6
22,213.0,7
22,440.0,8
22,439.0,9
23,111.0,1
23,426.0,2
23,90.0,3
23,159.0,4
23,395.0,5
23,172.0,6
23,327.0,7
23,375.0,8
23,227.0,9
23,260.0,10
24,63.0,1
24,191.0,2
24,331.0,3
24,44.0,4
24,480.0,5
24,84.0,6
24,59.0,7
24,71.0,8
24,444.0,9
25,157.0,1
25,374.0,2
25,11.0,3
25,56.0,4
25,94.0,5
25,105.0,6
25,234.0,7
25,384.0,8
25,249.0,9
25,102.0,10
25,448.0,11
26,55.0,1
26,223.0,2
26,253.0,3
26,352.0,4
26,425.0,5
26,216.0,6
26,126.0,7
26,219.0,8
26,252.0,9
26,222.0,10
26,139.0,11
26,424.0,12
26,130.0,13
26,205.0,14
27,210.0,1
27,324.0,2
28,363.0,1
28,455.0,2
28,270.0,3
28,13.0,4
29,450.0,1
29,456.0,2
29,405.0,3
29,412.0,4
30,348.0,1
30,404.0,2
30,51.0,3
30,230.0,4
30,70.0,5
30,88.0,6
30,461.0,7
30,477.0,8
30,382.0,9
30,54.0,10
30,151.0,11
31,481.0,1
32,326.0,1
32,350.0,2
32,165.0,3
32,401.0,4
32,496.0,5
32,85.0,6
32,110.0,7
32,192.0,8
32,179.0,9
32,39.0,10
32,251.0,11
32,279.0,12
